Var1,Var2,Var3,Var4,Var5,Var6
1,2,3,2,1.0584750000271,0
1,3,2,2,0.857972099969629,1
1,2,1,1,1.02509790001204,1
1,1,1,1,0.508329300035257,1
1,2,2,2,0.407096499984618,1
1,1,2,2,0.841822599992156,1
1,1,3,3,0.524656599969603,1
1,3,3,3,0.82491799996933,1
1,3,1,1,0.491433599963784,1
2,2,3,3,0.808340600051451,1
2,2,1,1,0.70800710003823,1
2,1,1,1,0.558336400019471,1
2,1,2,2,0.52498819999164,1
2,2,2,2,0.408008400001563,1
2,3,3,3,0.808388700010255,1
2,3,1,1,1.02480039995862,1
2,1,3,3,1.35812779999105,1
2,3,2,2,0.492045099963434,1
3,2,1,1,0.725065300008282,1
3,1,2,2,0.974762200028636,1
3,3,3,3,0.458433999971021,1
3,2,3,3,0.908412500051782,1
3,3,1,1,0.508127200009767,1
3,3,2,2,0.458425100019667,1
3,1,1,1,0.841715999995358,1
3,1,3,3,1.34145909996005,1
3,2,2,2,0.558437699975912,1
4,3,1,1,0.924986400001217,1
4,1,1,1,0.441926300001796,1
4,3,3,3,0.941150300030131,1
4,2,2,2,0.775091500021517,1
4,2,1,1,0.824472100008279,1
4,3,2,2,1.14162220002618,1
4,2,3,3,1.32501580001554,1
4,1,2,2,1.02465950004989,1
4,1,3,3,0.958131899998989,1
5,1,3,2,2.32518579997122,0
5,2,3,2,1.14129860000685,0
5,3,1,1,1.37474040000234,1
5,1,1,1,0.508122000028379,1
5,2,2,2,0.408232900022995,1
5,1,2,2,0.424809199990705,1
5,3,2,2,0.758130399975926,1
5,3,3,3,0.958258399972692,1
5,2,1,1,0.925309300015215,1
